2016-11-10 17:58:22,394 INFO  [org.jboss.modules] (main) JBoss Modules version 1.5.1.Final-redhat-1
2016-11-10 17:58:23,445 INFO  [org.jboss.msc] (main) JBoss MSC version 1.2.6.Final-redhat-1
2016-11-10 17:58:23,563 INFO  [org.jboss.as] (MSC service thread 1-1) WFLYSRV0049: JBoss EAP 7.0.0.GA (WildFly Core 2.1.2.Final-redhat-1) starting
2016-11-10 17:58:25,469 INFO  [org.xnio] (MSC service thread 1-4) XNIO version 3.3.6.Final-redhat-1
2016-11-10 17:58:25,486 INFO  [org.jboss.as.host.controller] (Controller Boot Thread) WFLYHC0003: Creating http management service using network interface (management) port (9990) securePort (-1)
2016-11-10 17:58:25,521 INFO  [org.xnio.nio] (MSC service thread 1-4) XNIO NIO Implementation Version 3.3.6.Final-redhat-1
2016-11-10 17:58:25,804 INFO  [org.jboss.remoting] (MSC service thread 1-4) JBoss Remoting version 4.0.18.Final-redhat-1
2016-11-10 17:58:25,979 INFO  [org.jboss.as.remoting] (MSC service thread 1-3) WFLYRMT0001: Listening on 0.0.0.0:9999
2016-11-10 17:58:31,835 INFO  [org.jboss.as.controller.management-deprecated] (Controller Boot Thread) WFLYCTL0028: Attribute 'max-permgen-size' in the resource at address '/server-group=primary-server-group/jvm=default' is deprecated, and may be removed in future version. See the attribute description in the output of the read-resource-description operation to learn more about the deprecation.
2016-11-10 17:58:31,839 INFO  [org.jboss.as.controller.management-deprecated] (Controller Boot Thread) WFLYCTL0028: Attribute 'max-permgen-size' in the resource at address '/server-group=secondary-server-group/jvm=default' is deprecated, and may be removed in future version. See the attribute description in the output of the read-resource-description operation to learn more about the deprecation.
2016-11-10 17:58:31,840 INFO  [org.jboss.as.controller.management-deprecated] (Controller Boot Thread) WFLYCTL0028: Attribute 'max-permgen-size' in the resource at address '/server-group=singleton-server-group/jvm=default' is deprecated, and may be removed in future version. See the attribute description in the output of the read-resource-description operation to learn more about the deprecation.
2016-11-10 17:58:32,805 INFO  [org.jboss.as] (Controller Boot Thread) WFLYSRV0060: Http management interface listening on http://0.0.0.0:9990/management
2016-11-10 17:58:32,806 INFO  [org.jboss.as] (Controller Boot Thread) WFLYSRV0051: Admin console listening on http://0.0.0.0:9990
2016-11-10 17:58:32,807 INFO  [org.jboss.as] (Controller Boot Thread) WFLYSRV0025: JBoss EAP 7.0.0.GA (WildFly Core 2.1.2.Final-redhat-1) (Host Controller) started in 13031ms - Started 51 of 51 services (14 services are lazy, passive or on-demand)
2016-11-10 18:01:27,624 INFO  [org.jboss.as.domain.controller] (Host Controller Service Threads - 36) WFLYHC0019: Registered remote slave host "host1", JBoss JBoss EAP 7.0.0.GA (WildFly 2.1.2.Final-redhat-1)
2016-11-10 18:02:43,872 INFO  [org.jboss.as.domain.controller] (Host Controller Service Threads - 37) WFLYHC0019: Registered remote slave host "host2", JBoss JBoss EAP 7.0.0.GA (WildFly 2.1.2.Final-redhat-1)
2016-11-10 18:17:23,473 INFO  [org.jboss.as.repository] (management-handler-thread - 9) WFLYDR0001: Content added at location /home/jboss/eap7_labs/solution/eap7-dev-labs/03_Operating_Modes/domainLab/host0/domain/data/content/cb/e0a3a1e144bf6d37dba6cba8ccbc46000fef39/content
2016-11-10 19:01:16,888 INFO  [org.jboss.as.repository] (management-handler-thread - 11) WFLYDR0001: Content added at location /home/jboss/eap7_labs/solution/eap7-dev-labs/03_Operating_Modes/domainLab/host0/domain/data/content/1d/8318b61c6558bf0023634a185a3c055e548813/content
2016-11-10 19:09:23,957 INFO  [org.jboss.as.repository] (management-handler-thread - 14) WFLYDR0002: Content removed from location /home/jboss/eap7_labs/solution/eap7-dev-labs/03_Operating_Modes/domainLab/host0/domain/data/content/cb/e0a3a1e144bf6d37dba6cba8ccbc46000fef39/content
2016-11-10 19:09:35,773 INFO  [org.jboss.as.repository] (management-handler-thread - 15) WFLYDR0002: Content removed from location /home/jboss/eap7_labs/solution/eap7-dev-labs/03_Operating_Modes/domainLab/host0/domain/data/content/1d/8318b61c6558bf0023634a185a3c055e548813/content
2016-11-11 01:27:03,672 INFO  [org.jboss.as.domain.controller] (management task-6) WFLYHC0026: Unregistered remote slave host "host2"
2016-11-11 01:27:03,869 INFO  [org.jboss.as.domain.controller] (management task-1) WFLYHC0026: Unregistered remote slave host "host1"
2016-11-11 01:27:04,975 INFO  [org.jboss.as] (MSC service thread 1-3) WFLYSRV0050: JBoss EAP 7.0.0.GA (WildFly Core 2.1.2.Final-redhat-1) stopped in 1733ms
